State,Total.Population,votes,votes16_trumpd,votes16_clintonh,votes16_johnsong,votes16_steinj,rep16_frac,dem16_frac,At.Least.Bachelor.s.Degree,At.Least.High.School.Diploma,Less.Than.High.School,Graduate.Degree,White.not.Latino.Population,African.American.Population,Native.American.Population,Asian.American.Population,Population.some.other.race.or.races,Latino.Population,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Adult.obesity,Diabetes,Uninsured,Unemployment,Diabetes
Alabama,4706548.0,2078165,1306925,718084,43869,9287,0.6566512101940296,0.34334878980597017,15.392537313432834,76.7820895522388,23.217910447761184,5.622388059701492,66.65223880597013,28.230597014925372,0.6149253731343284,0.5455223880597015,1.1858208955223872,2.7656716417910445,25.98955223880597,15.726119402985072,23.541044776119403,1.416417910447761,12.050746268656718,21.281343283582096,0.35082089552238804,0.1408208955223881,0.1741492537313433,0.08570149253731346,0.1408208955223881
Arizona,6358441.0,2062810,1021154,936250,80151,25255,0.557223206,0.44277679400000003,18.053333333333335,81.82,18.179999999999996,6.62,53.220000000000006,1.6266666666666667,13.15,1.1066666666666665,1.7500000000000002,29.166666666666668,29.160000000000004,20.87666666666667,24.66,1.5666666666666667,13.316666666666666,10.41,0.2780666666666667,0.10080000000000001,0.20533333333333337,0.11406666666666668,0.10080000000000001
Arkansas,2877030.5,1121684,677904,378729,29518,9837,0.6814662307466667,0.31853376925333343,13.933333333333337,78.86399999999998,21.135999999999996,4.4239999999999995,77.1966666666667,15.832666666666666,0.6040000000000002,0.5786666666666667,1.4320000000000002,4.363999999999999,26.056000000000008,16.843999999999998,22.377333333333322,2.5293333333333337,11.146000000000003,21.04933333333333,0.33616000000000007,0.12454666666666668,0.20982666666666663,0.08224000000000001,0.12454666666666668
California,36781241.5,11954317,3916209,7362490,402406,220312,0.4627024758793103,0.5372975241206897,24.605172413793102,82.45862068965519,17.541379310344833,8.608620689655174,58.22672413793101,3.131896551724138,1.7034482758620695,6.379310344827588,3.0870689655172416,27.471551724137928,32.975862068965526,19.11637931034483,23.93275862068965,3.5155172413793108,9.85344827586207,10.617241379310345,0.2421896551724138,0.0807758620689655,0.18955172413793106,0.12251724137931037,0.0807758620689655
Colorado,4936203.5,2564185,1137455,1212209,129451,33147,0.6027052237343751,0.397294776265625,28.468749999999993,88.13906249999998,11.860937500000004,9.609375000000002,76.73671875000001,1.3203124999999998,0.91640625,1.015625,1.5710937500000002,18.43984375,33.69531250000001,18.175781250000004,22.4015625,2.4640625000000003,13.665625000000004,9.597656250000002,0.206828125,0.06306250000000002,0.19878124999999996,0.07578125,0.06306250000000002
Connecticut,3534292.0,1623542,668266,884432,48051,22793,0.46611625849999994,0.5338837415000001,33.324999999999996,89.1,10.9,14.412500000000001,79.65,6.11875,0.20625,2.91875,1.9562499999999998,9.14375,38.862500000000004,16.9,24.83125,0.21875000000000003,8.4625,10.7125,0.2435,0.08287499999999999,0.092875,0.08187499999999999,0.08287499999999999
Delaware,880883.0,441535,185103,235581,14751,6100,0.4947613163333333,0.5052386836666667,24.53333333333333,86.16666666666667,13.833333333333334,9.666666666666666,68.96666666666665,19.25,0.3833333333333333,2.3333333333333335,2.1333333333333333,6.916666666666667,33.75000000000001,17.616666666666664,25.983333333333334,0.6333333333333333,10.483333333333333,11.483333333333334,0.3013333333333333,0.106,0.11633333333333333,0.07200000000000001,0.106
District of Columbia,595078,280272,11553,260223,4501,3995,0.042509272,0.957490728,24.6,43.25,6.75,13.6,33.35,52.3,0.2,3.2,2.1,8.8,56.75,16.05,19.2,0.1,3.3,4.65,0.21,0.081,0.083,0.089,0.081
Florida,18511865.0,9386750,4605515,4485745,206007,64019,0.6385397945671644,0.36146020543283575,19.40746268656716,82.22686567164182,17.773134328358214,6.93582089552239,70.82537313432834,13.790298507462683,0.4470149253731342,1.4067164179104477,1.636567164179105,11.897014925373131,28.64328358208956,20.4410447761194,25.694776119402988,2.445522388059701,12.244776119402989,10.532089552238803,0.29777611940298504,0.11598507462686569,0.23237313432835813,0.0862537313432836,0.11598507462686569
Georgia,9592660.0,4029564,2068623,1837300,123641,,0.6548727631886788,0.3451272368113206,15.819496855345925,77.17295597484274,22.827044025157228,5.84842767295597,64.61352201257857,27.709433962264136,0.22169811320754718,0.9613207547169814,1.2012578616352196,5.29245283018868,26.917924528301885,17.08522012578616,23.32232704402516,2.014779874213836,12.121698113207545,18.538364779874215,0.31163522012578626,0.12350943396226419,0.22346540880503157,0.10066037735849061,0.12350943396226419
Hawaii,1320271.0,428825,128815,266827,15949,12727,0.30977407075,0.69022592925,23.65,79.45,10.55,8.5,28.68,0.8,0.53,27.369999999999997,34.660000000000004,7.93,35.13,22.82,25.05,1.02,8.529999999999998,7.469999999999999,0.2306,0.09159999999999999,0.09425,0.068,0.09159999999999999
Idaho,1530077.5,688235,407199,189677,28256,8464,0.764176154431818,0.23582384556818176,19.393181818181816,85.72272727272727,14.27727272727273,5.829545454545454,84.7159090909091,0.28068181818181814,1.335227272727273,0.5715909090909091,1.7215909090909087,11.372727272727273,28.936363636363637,17.054545454545455,21.044318181818184,5.397727272727274,13.39545454545454,14.16818181818182,0.27643181818181817,0.09431818181818183,0.2172272727272728,0.07586363636363637,0.09431818181818183
Illinois,12807837.5,5374280,2118179,2977498,204491,74112,0.6678914109509803,0.3321085890490197,18.777450980392153,86.3441176470588,13.655882352941168,6.435294117647057,88.79166666666664,4.744117647058826,0.17549019607843133,1.008333333333333,1.1789215686274512,4.093627450980391,29.17598039215687,17.7921568627451,23.425490196078446,1.0264705882352942,10.18578431372549,18.400000000000002,0.29863725490196075,0.09665686274509809,0.12506862745098038,0.0881470588235294,0.09665686274509809
Indiana,6413135.5,2722029,1556220,1031953,133856,,0.7097389954565216,0.29026100454347836,16.792391304347827,84.95869565217392,15.041304347826092,6.195652173913042,92.22228260869568,2.436413043478261,0.21195652173913035,0.7266304347826088,1.2141304347826087,3.1874999999999996,27.099999999999998,16.179891304347827,22.403260869565223,0.8619565217391304,10.655978260869567,22.80054347826087,0.3169782608695654,0.1095108695652174,0.16473913043478258,0.08475,0.1095108695652174
Iowa,3012617.5,1542880,798923,650790,57322,11119,0.6463927507575756,0.35360724924242437,18.96969696969696,88.99898989898988,11.0010101010101,5.32020202020202,93.58030303030301,0.9237373737373737,0.2590909090909092,0.7883838383838385,0.9166666666666666,3.533333333333334,30.17222222222222,16.164141414141426,22.447979797979816,1.8207070707070707,9.529797979797985,19.86767676767676,0.30524242424242415,0.09189898989898992,0.11142424242424245,0.05203030303030303,0.09189898989898992
Kansas,2815476.5,1147143,656009,414788,53648,22698,0.7813346455428576,0.21866535445714297,20.02,87.78476190476192,12.215238095238094,6.133333333333331,87.31619047619047,1.7119047619047616,0.7661904761904763,0.6609523809523808,1.688571428571429,7.853809523809526,32.663809523809526,16.665714285714284,21.442380952380955,3.303333333333333,10.803809523809525,15.117142857142854,0.32367619047619056,0.10565714285714285,0.16046666666666665,0.048209523809523806,0.10565714285714285
Kentucky,4295683.5,1923346,1202942,628834,53749,13913,0.7582310185916664,0.24176898140833342,13.88583333333333,75.73666666666665,24.26333333333334,5.829999999999998,92.81208333333332,3.617500000000001,0.18749999999999997,0.4312499999999998,1.1116666666666666,1.8391666666666666,26.89750000000001,16.138749999999998,22.726250000000007,1.281666666666667,12.445833333333328,20.503749999999993,0.33497499999999997,0.1259500000000001,0.17912500000000003,0.09089166666666675,0.1259500000000001
