SummaryLevel,State,StateFIPS,GEOID,AreaName,B15001_001,B15001_002,B15001_003,B15001_004,B15001_005,B15001_006,B15001_007,B15001_008,B15001_009,B15001_010,B15001_011,B15001_012,B15001_013,B15001_014,B15001_015,B15001_016,B15001_017,B15001_018,B15001_019,B15001_020,B15001_021,B15001_022,B15001_023,B15001_024,B15001_025,B15001_026,B15001_027,B15001_028,B15001_029,B15001_030,B15001_031,B15001_032,B15001_033,B15001_034,B15001_035,B15001_036,B15001_037,B15001_038,B15001_039,B15001_040,B15001_041,B15001_042,B15001_043,B15001_044,B15001_045,B15001_046,B15001_047,B15001_048,B15001_049,B15001_050,B15001_051,B15001_052,B15001_053,B15001_054,B15001_055,B15001_056,B15001_057,B15001_058,B15001_059,B15001_060,B15001_061,B15001_062,B15001_063,B15001_064,B15001_065,B15001_066,B15001_067,B15001_068,B15001_069,B15001_070,B15001_071,B15001_072,B15001_073,B15001_074,B15001_075,B15001_076,B15001_077,B15001_078,B15001_079,B15001_080,B15001_081,B15001_082,B15001_083,B15002_001,B15002_002,B15002_003,B15002_004,B15002_005,B15002_006,B15002_007,B15002_008,B15002_009,B15002_010,B15002_011,B15002_012,B15002_013,B15002_014,B15002_015,B15002_016,B15002_017,B15002_018,B15002_019,B15002_020,B15002_021,B15002_022,B15002_023,B15002_024,B15002_025,B15002_026,B15002_027,B15002_028,B15002_029,B15002_030,B15002_031,B15002_032,B15002_033,B15002_034,B15002_035,B15003_001,B15003_002,B15003_003,B15003_004,B15003_005,B15003_006,B15003_007,B15003_008,B15003_009,B15003_010,B15003_011,B15003_012,B15003_013,B15003_014,B15003_015,B15003_016,B15003_017,B15003_018,B15003_019,B15003_020,B15003_021,B15003_022,B15003_023,B15003_024,B15003_025,C15002A_001,C15002A_002,C15002A_003,C15002A_004,C15002A_005,C15002A_006,C15002A_007,C15002A_008,C15002A_009,C15002A_010,C15002A_011,C15002B_001,C15002B_002,C15002B_003,C15002B_004,C15002B_005,C15002B_006,C15002B_007,C15002B_008,C15002B_009,C15002B_010,C15002B_011,C15002C_001,C15002C_002,C15002C_003,C15002C_004,C15002C_005,C15002C_006,C15002C_007,C15002C_008,C15002C_009,C15002C_010,C15002C_011,C15002D_001,C15002D_002,C15002D_003,C15002D_004,C15002D_005,C15002D_006,C15002D_007,C15002D_008,C15002D_009,C15002D_010,C15002D_011,C15002E_001,C15002E_002,C15002E_003,C15002E_004,C15002E_005,C15002E_006,C15002E_007,C15002E_008,C15002E_009,C15002E_010,C15002E_011,C15002F_001,C15002F_002,C15002F_003,C15002F_004,C15002F_005,C15002F_006,C15002F_007,C15002F_008,C15002F_009,C15002F_010,C15002F_011,C15002G_001,C15002G_002,C15002G_003,C15002G_004,C15002G_005,C15002G_006,C15002G_007,C15002G_008,C15002G_009,C15002G_010,C15002G_011,C15002H_001,C15002H_002,C15002H_003,C15002H_004,C15002H_005,C15002H_006,C15002H_007,C15002H_008,C15002H_009,C15002H_010,C15002H_011,C15002I_001,C15002I_002,C15002I_003,C15002I_004,C15002I_005,C15002I_006,C15002I_007,C15002I_008,C15002I_009,C15002I_010,C15002I_011,B15011_001,B15011_002,B15011_003,B15011_004,B15011_005,B15011_006,B15011_007,B15011_008,B15011_009,B15011_010,B15011_011,B15011_012,B15011_013,B15011_014,B15011_015,B15011_016,B15011_017,B15011_018,B15011_019,B15011_020,B15011_021,B15011_022,B15011_023,B15011_024,B15011_025,B15011_026,B15011_027,B15011_028,B15011_029,B15011_030,B15011_031,B15011_032,B15011_033,B15011_034,B15011_035,B15011_036,B15011_037,B15011_038,B15011_039,B15012_001,B15012_002,B15012_003,B15012_004,B15012_005,B15012_006,B15012_007,B15012_008,B15012_009,B15012_010,B15012_011,B15012_012,B15012_013,B15012_014,B15012_015,B15012_016,C15010_001,C15010_002,C15010_003,C15010_004,C15010_005,C15010_006,C15010A_001,C15010A_002,C15010A_003,C15010A_004,C15010A_005,C15010A_006,C15010B_001,C15010B_002,C15010B_003,C15010B_004,C15010B_005,C15010B_006,C15010C_001,C15010C_002,C15010C_003,C15010C_004,C15010C_005,C15010C_006,C15010D_001,C15010D_002,C15010D_003,C15010D_004,C15010D_005,C15010D_006,C15010E_001,C15010E_002,C15010E_003,C15010E_004,C15010E_005,C15010E_006,C15010F_001,C15010F_002,C15010F_003,C15010F_004,C15010F_005,C15010F_006,C15010G_001,C15010G_002,C15010G_003,C15010G_004,C15010G_005,C15010G_006,C15010H_001,C15010H_002,C15010H_003,C15010H_004,C15010H_005,C15010H_006,C15010I_001,C15010I_002,C15010I_003,C15010I_004,C15010I_005,C15010I_006
40,AL,01,04000US01,Alabama,3718646,1773950,241337,5870,39399,80453,94006,7677,13241,691,305013,12824,36245,95589,72272,20892,48954,18237,297360,13519,33522,92214,65143,22640,46701,23621,620929,29339,67819,206754,129643,44008,88359,55007,309311,31227,35010,95563,57662,13176,42190,34483,1944696,237958,3738,28554,65062,107507,11910,19600,1587,316579,8662,27891,73955,82011,31715,64460,27885,312055,9823,23808,76827,74436,36594,56684,33883,668089,22026,58789,208372,155124,64159,97161,62458,410015,39465,59922,156021,74889,18151,34303,27264,3239351,1532613,21478,8583,17958,38890,37962,51103,52336,31195,490120,85160,239560,100716,226204,82686,29363,19299,1706738,20398,7016,15197,37365,36892,51630,53728,28160,515175,109296,277164,150619,252608,119311,19146,13033,3239351,41876,238,426,1319,1936,6294,5386,8246,24909,25272,50983,74854,102733,106064,59355,826272,179023,194456,516724,251335,478812,201997,48509,32332,2326653,1121817,166393,342861,315136,297427,1204836,158459,369571,372012,304794,790044,350847,76902,133600,96601,43744,439197,78164,130917,148165,81951,16476,7573,1663,2226,2385,1299,8903,1575,2473,3281,1574,39794,17824,1945,2675,3027,10177,21970,3497,4688,4145,9640,1496,684,193,173,228,90,812,281,226,248,57,30395,17054,9483,4365,2163,1043,13341,5904,3467,2371,1599,34493,16814,2926,4220,5896,3772,17679,2506,3833,6857,4483,2264530,1086819,152972,332949,309046,291852,1177711,148794,361979,366677,300261,98063,55031,24019,15188,8887,6937,43032,16484,11804,8291,6453,761650,357552,100400,39965,5528,27090,6440,21377,180479,71181,11400,51051,13607,33240,76673,31241,4992,19961,8902,11577,404098,137149,32085,20876,28394,24370,31424,205382,38959,28789,46340,53179,38115,61567,8142,6265,5764,28841,12555,812631,33327,47524,23874,32152,40049,60764,3940,83302,184731,140095,25422,37553,22422,24583,52893,761650,221573,77850,178600,135339,148288,602221,174309,61702,141410,107583,117217,125695,31799,12374,31084,25139,25299,2873,880,379,521,605,488,19817,10943,2208,3312,892,2462,147,66,27,8,20,26,2642,813,278,799,162,590,8255,2763,882,1466,938,2206,592113,170291,60767,139045,106712,115298,13390,4922,1298,3461,1142,2567
40,AK,02,04000US02,Alaska,545248,287259,46115,499,7013,18445,16778,1501,1806,73,60647,732,3895,19633,18930,4936,9721,2800,47646,785,2029,15726,13119,3611,7787,4589,100485,2234,4899,30925,28324,7855,15901,10347,32366,2508,2000,8166,8185,1545,5313,4649,257989,34693,190,5311,12098,12757,1417,2805,115,53531,802,2569,12187,16676,4496,12630,4171,43970,611,1722,9896,12075,4371,9797,5498,92455,2152,3761,24109,25359,9064,16983,11027,33340,3679,2115,8682,8315,1841,5069,3639,464440,241144,1347,1036,1123,2753,1972,3614,4313,2924,74450,17835,50723,17947,38722,14996,4541,2848,223296,1630,1529,1372,2713,1614,2828,3378,2347,54874,17018,45407,19772,44479,18451,3730,2154,464440,2977,86,84,126,421,1020,828,730,1765,1213,4253,3586,6442,7691,5271,105527,23797,34853,96130,37719,83201,33447,8271,5002,332102,175872,8700,48291,65746,53135,156230,6851,34331,58362,56686,15122,8730,964,2356,4039,1371,6392,646,1860,2003,1883,56906,28200,5493,13596,7317,1794,28706,5042,10904,9902,2858,27446,12301,2142,4010,3741,2408,15145,3324,3665,4118,4038,4289,2058,253,1012,614,179,2231,199,1005,856,171,5372,2858,452,1101,841,464,2514,451,559,1058,446,23203,11125,1078,4084,4207,1756,12078,898,2550,5898,2732,317719,168560,7920,46360,62586,51694,149159,6028,32655,55427,55049,23724,12161,1510,3735,4843,2073,11563,1420,2725,4857,2561,129921,61107,19064,8586,837,3442,965,5234,32081,15807,1965,4983,2803,6523,9962,5016,455,1696,1394,1401,68814,24270,8113,3510,3428,3269,5950,35836,9695,4794,5921,7432,7994,8708,1530,1050,525,3514,2089,141174,3514,14395,6801,6635,11261,9741,1225,13660,20877,20375,6226,7980,4630,3877,9977,129921,48747,12611,19995,19377,29191,109821,43020,10470,15466,16259,24606,3254,920,211,935,591,597,4652,1105,479,730,1091,1247,6446,1915,1011,1731,775,1014,350,94,117,56,9,74,910,281,60,223,92,254,4488,1412,263,854,560,1399,106743,41916,10106,14994,15842,23885,4634,1510,503,844,541,1236
40,AZ,04,04000US04,Arizona,5024639,2473872,343092,7873,59352,114118,127623,14305,18557,1264,455242,21072,48664,119425,123072,37308,76995,28706,420309,29450,39712,98412,102034,35075,74505,41121,787155,49887,57684,193206,196594,66967,136117,86700,468074,33185,28603,107236,112563,29089,85449,71949,2550767,320243,6202,43463,89433,135276,18769,25259,1841,430931,16475,35127,90873,118500,44026,89217,36713,413103,25733,33402,84516,102870,38953,81577,46052,834489,50299,53258,198385,223291,83545,139755,85956,552001,45314,41380,171712,139791,35606,69810,48388,4361304,2130780,27523,18949,43080,44042,37305,40671,51821,44866,518279,149474,384789,168439,373066,151238,45475,31763,2230524,31594,18137,44467,43623,35786,38852,45985,42544,545486,177831,406621,202130,380359,169789,27809,19511,4361304,59117,399,1063,4094,7028,13969,10533,14782,72765,18388,69277,73091,79523,97806,87410,887064,176701,327305,791410,370569,753425,321027,73284,51274,3567127,1741487,221162,414097,585563,520665,1825640,211984,451582,654011,508063,168086,87866,10891,22831,35342,18802,80220,8652,17419,35154,18995,163798,77330,19207,29007,22624,6492,86468,20245,24331,32024,9868,137214,61182,6500,7060,13117,34505,76032,11102,11779,16145,37006,7287,3862,575,1401,1457,429,3425,202,1356,1280,587,235944,118953,44619,34285,29528,10521,116991,43446,31213,30941,11391,81848,40100,5303,9598,15071,10128,41748,5357,7806,17027,11558,2796289,1363483,87840,309092,488122,478429,1432806,83857,347295,542188,459466,1055727,521587,184592,146108,135728,55159,534140,177604,140787,151972,63777,1199010,601542,161447,69252,9826,39060,7441,35868,282697,119914,16824,74973,19957,51029,157398,68871,7815,37897,18354,24461,597468,188769,54429,21651,35390,29465,47834,290501,66440,40116,60351,59311,64283,118198,18662,15348,11640,46277,26271,1282158,53401,69837,40966,59582,90303,107082,9706,119241,268659,187371,49127,55625,45904,47999,77355,1199010,397568,111580,259311,180805,249746,1028728,328953,93772,223810,162387,219806,37797,12126,3503,9383,4798,7987,16360,5039,1579,2562,3822,3358,71511,35680,9070,13785,4202,8774,1016,351,101,221,192,151,21912,6889,1863,5206,3338,4616,21686,8530,1692,4344,2066,5054,937895,300647,86294,201100,147978,201876,118936,36992,9896,29097,18579,24372
40,AR,05,04000US05,Arkansas,2250387,1089826,146323,2889,20342,53321,56076,5405,7801,489,192463,7030,18730,68343,47880,11396,28873,10211,182252,9100,17004,66712,38630,11199,26067,13540,368413,19387,37677,141792,77587,19222,46451,26297,200375,21154,21882,68146,39891,6384,24231,18687,1160561,141323,1590,15167,40638,64245,7537,11296,850,192205,5699,14303,50903,52024,18661,34713,15902,184397,7334,12944,51732,44815,17696,32510,17366,389348,15967,31930,135420,90786,30497,54404,30344,253288,25290,33668,102229,49127,8471,20492,14011,1962741,943503,11118,6738,13135,25680,20832,25758,31530,17173,344993,58720,145268,48201,125622,41677,15288,11770,1019238,11896,6055,11850,24489,18896,26681,31831,15437,340284,74146,162606,75325,142119,61720,9325,6578,1962741,23014,195,435,660,1916,5163,4424,6550,18435,13957,36212,39728,52439,63361,32610,564438,120839,132866,307874,123526,267741,103397,24613,18348,1589989,769686,112316,278464,210036,168870,820303,106656,280212,249978,183457,273163,124517,24239,53719,32191,14368,148646,27486,46325,50179,24656,12004,5886,1209,2207,1649,821,6118,1055,1955,2272,836,25997,11679,1393,1739,1926,6621,14318,2293,2874,2783,6368,3358,1762,439,908,382,33,1596,461,849,221,65,31221,17235,10262,4032,2086,855,13986,6965,3671,2126,1224,27009,12738,2106,3924,3919,2789,14271,2219,4398,4518,3136,1526755,736545,97426,268661,204612,165846,790210,93791,272045,244417,179957,98346,52699,25956,14727,7938,4078,45647,20351,12305,8195,4796,414099,194357,59094,22906,3732,15389,3318,13749,92345,35067,6177,25731,9451,15919,42918,16986,2206,10930,7012,5784,219742,75976,18133,11557,13978,14581,17727,109263,19475,15735,20657,33903,19493,34503,4035,3764,2724,17227,6753,442152,17689,33652,14586,16487,23721,19842,2106,46585,92149,87783,15329,20651,12505,15138,23929,414099,116602,43171,89409,85492,79425,352327,97155,36796,76694,73567,68115,39024,9448,3906,8485,9216,7969,1657,453,171,282,412,339,12989,6663,1660,2354,742,1570,98,0,0,44,5,49,2079,709,186,457,394,333,5925,2174,452,1093,1156,1050,345803,94651,36487,75052,72774,66839,8874,3236,546,2079,1247,1766
40,CA,06,04000US06,California,29247121,14399409,2063062,46175,286970,646770,848761,81010,142655,10721,2878392,177775,285276,691622,687274,197242,608609,230594,2596114,257645,269652,554632,520836,168851,509655,314843,4749737,507054,380462,973437,1037348,357332,895813,598291,2112104,264014,144348,391428,412761,151013,393283,355257,14847712,1926201,27086,193628,503751,879749,109281,198496,14210,2735946,132407,205473,510094,656938,238585,696304,296145,2581815,238918,226014,465488,526460,211110,564261,349564,4918534,541477,343943,966903,1114130,460029,944133,547919,2685216,413231,211952,678220,561140,186160,390538,243975,25257858,12336347,298039,210118,470820,227511,263695,192620,274444,348979,2611119,682468,1975751,874438,2407360,937187,324401,237397,12921511,354478,233999,500666,236890,258534,181776,244141,302931,2620705,778804,2079864,1095884,2595236,1027818,259389,150396,25257858,652517,5635,8514,38832,93425,179307,118404,152298,819188,139574,324827,522229,374396,518585,651910,4661300,570524,1461272,4055615,1970322,5002596,1965005,583790,387793,16165553,7961244,1290370,1671120,2369318,2630436,8204309,1253227,1706459,2661543,2583080,1475578,714818,90145,186807,285387,152479,760760,79911,167965,330443,182441,182515,89868,23760,25576,28619,11913,92647,22286,23308,33796,13257,3763433,1722038,194743,241851,403387,882057,2041395,308568,299867,444954,988006,96866,47060,7962,15181,16578,7339,49806,8345,13758,19861,7842,2817540,1431921,625568,393426,298704,114223,1385619,588624,340717,321437,134841,756373,369398,53678,77158,130664,107898,386975,52454,68631,142518,123372,11219141,5531148,326660,1051824,1805546,2347118,5687993,311822,1112501,2013381,2250289,8154543,4057312,1644840,1058797,927705,425970,4097231,1579614,977294,1037117,503206,7939184,3906345,1249316,618387,58528,241008,21134,310259,1908489,945468,102743,406951,62961,390366,748540,372972,37739,148997,52844,135988,4032839,1454263,549388,128390,244996,78672,452817,1944063,601350,225597,369849,182518,564749,634513,142576,75897,61016,169679,185345,8470560,432510,539576,288981,438814,869252,816523,66955,670716,1522538,599331,456686,507341,485762,357229,418346,7939184,3230141,628894,1472817,567808,2039524,5213516,2022291,356677,909172,417460,1507916,334920,115536,29436,71931,27049,90968,25170,9395,1950,4005,2198,7622,1870063,896753,203966,388504,87249,293591,15181,5269,1547,3520,1227,3618,249064,84814,19547,55122,21341,68240,231270,96083,15771,40563,11284,67569,4597407,1803907,312870,780593,365354,1334683,929176,325599,68068,195496,77257,262756
40,CO,08,04000US08,Colorado,4037050,2013463,269367,4230,39032,81425,111521,9859,21779,1521,405249,13945,29568,95753,97353,31491,104461,32678,367808,17787,23172,72849,80013,29675,93583,50729,679805,25461,32623,153835,150035,56604,156785,104462,291234,15083,15510,63526,60480,15558,62556,58521,2023587,247506,3068,27889,62346,109212,11487,31517,1987,377296,9071,20319,64824,85766,35677,113934,47705,348980,13514,17402,56327,71833,34052,96342,59510,696199,21209,28623,150981,161143,69890,164477,99876,353606,19811,24124,109230,84199,19854,55839,40549,3520177,1744096,16043,10024,24289,21920,20840,23338,29575,27120,385963,104697,283184,133328,417385,168401,44510,33479,1776081,15734,8634,19728,19509,19686,21552,25812,23418,381362,117875,285066,159473,430592,192452,31616,23572,3520177,31777,199,370,1555,3616,7948,4970,7068,36949,10094,31335,40526,44890,55387,50538,631548,135777,222572,568250,292801,847977,360853,76126,57051,3046242,1506508,128577,324489,451321,602121,1539734,110865,327435,488042,613392,132772,71877,7642,20128,27829,16278,60895,6696,13725,25006,15468,30955,15436,3253,4967,4892,2324,15519,2661,3743,6304,2811,103338,45680,5670,6812,9142,24056,57658,9026,10269,11498,26865,4504,2340,184,710,830,616,2164,182,557,940,485,125936,65102,23948,20259,14376,6519,60834,21147,17631,15402,6654,76430,37153,3875,8598,12819,11861,39277,3496,8002,15222,12557,2615342,1289433,57791,260050,398796,572796,1325909,50659,266338,428025,580887,594554,300708,99120,90267,72850,38471,293846,84640,83413,83931,41862,1342007,663775,206417,93357,9044,48029,5158,50829,336281,161382,16230,79173,16515,62981,121077,59092,5761,25658,12556,18010,678232,240620,85152,24083,40402,21485,69498,341224,99771,39407,66056,50572,85418,96388,18789,12653,7529,32667,24750,1464896,72876,102588,60236,79274,124672,115044,12776,118478,279700,149033,68243,72296,62892,63486,83302,1342007,517543,107178,266847,138953,311486,1215513,461092,97193,240050,130484,286694,31746,11216,2644,8478,2427,6981,5135,1946,454,1152,375,1208,50921,27550,3655,9409,2399,7908,1101,434,179,225,43,220,13173,5159,1212,2515,1317,2970,24418,10146,1841,5018,1908,5505,1153683,437983,93209,225589,124187,272715,80333,30020,5481,18321,8244,18267
40,CT,09,04000US09,Connecticut,2808486,1350339,178091,3702,21838,57857,68165,5717,19165,1647,219412,7810,13253,61950,44049,13325,53830,25195,219088,8842,12264,60340,37842,13553,48779,37468,501887,16957,27330,147136,85938,33193,104780,86553,231861,18755,19866,63861,33153,11003,40935,44288,1458147,167540,1736,14979,41147,76335,6992,23832,2519,217266,4246,9910,41672,43514,17239,60580,40105,229752,5720,10450,46299,41869,21613,56658,47143,533172,16172,23607,135749,97397,55395,113337,91515,310417,27223,27452,116966,46367,17968,37102,37339,2462855,1172248,12355,8144,13651,18214,14745,19545,19569,18854,333287,59537,141445,71074,248324,127464,41235,24805,1290607,13328,7997,12876,19160,15114,18858,20393,17054,340686,71458,157689,112215,267677,169806,30617,15679,2462855,25683,242,260,945,2331,6012,6351,7399,19128,9225,28149,29859,38403,39962,35908,594793,79180,130995,299134,183289,516001,297270,71852,40484,1982566,944096,80269,263616,221717,378494,1038470,80529,273438,271442,413061,229285,104602,16555,38513,29531,20003,124683,17814,38449,41899,26521,5694,2829,842,908,635,444,2865,440,786,1234,405,99832,47201,4395,5238,5948,31620,52631,6515,6754,7438,31924,602,250,19,133,18,80,352,67,68,111,106,105940,54672,20662,19028,9086,5896,51268,16586,16487,12480,5715,38936,18598,2335,5851,5121,5291,20338,2829,4704,6758,6047,1817743,866254,59445,237855,204389,364565,951489,59001,249947,248147,394394,290817,141767,44052,47997,28472,21246,149050,40844,42493,39338,26375,925607,441828,118721,53599,6113,26673,4167,28169,237884,105602,11545,61212,10930,48595,85223,40203,3569,17425,7508,16518,483779,148963,52870,16433,23631,15813,40216,260375,71313,31960,49044,40612,67446,74441,15435,9193,4525,23881,21407,993365,43715,53621,30543,58254,101449,75031,5175,84374,188835,107816,60997,58078,43714,34844,46919,925607,339022,78813,182510,102911,222351,791555,277172,65719,157175,94799,196690,46524,16155,4954,10390,4045,10980,849,352,44,187,35,231,63544,36360,6116,10401,2199,8468,186,101,9,26,5,45,11611,4046,999,2785,1145,2636,11338,4836,972,1546,683,3301,758959,265510,63087,149962,91731,188669,47621,16797,4011,10447,4503,11863
40,DC,11,04000US11,District of Columbia,536179,250627,37675,661,4718,9571,14869,711,6623,522,68011,1727,3062,8582,7036,1627,24098,21879,44906,2039,1812,7062,5495,1413,10654,16431,70392,3501,5909,15739,10730,2345,12923,19245,29643,2620,3195,5707,3788,676,4074,9583,285552,44552,310,2929,9000,19117,1411,10728,1057,77466,1254,2552,8233,8403,1639,25529,29856,45035,1501,1427,7799,6042,1692,9600,16974,74843,3295,6326,16973,13235,3204,12844,18966,43656,3439,4771,11602,7304,1444,6158,8938,453952,212952,2709,1682,2252,3244,3062,3454,4585,2877,37090,6263,20786,6061,51749,37318,19746,10074,241000,2489,1638,2087,3275,2830,3748,5298,3200,44607,9196,25788,7979,54131,48477,18110,8147,453952,5198,39,80,229,528,1353,1091,1277,3062,2439,4080,5892,7202,9883,6077,69678,12019,15459,46574,14040,105880,85795,37856,18221,196510,99789,2852,3100,7518,86319,96721,2555,3299,6284,84583,211304,92051,16214,31333,22665,21839,119253,17591,38365,33650,29647,1531,551,80,162,109,200,980,79,131,392,378,18010,7303,644,500,712,5447,10707,922,590,835,8360,250,126,0,0,71,55,124,0,0,17,107,16588,8774,3752,1534,1285,2203,7814,3099,1614,1020,2081,9759,4358,323,461,750,2824,5401,319,608,765,3709,176167,89125,434,2098,6261,80332,87042,512,2248,5228,79054,42159,21737,6693,3018,2974,9052,20422,5719,3388,2765,8550,247752,118887,61099,34344,1280,8541,840,16094,44131,21323,1738,6462,1297,13311,13657,6829,553,1635,643,3997,128865,71133,34128,3247,7455,2030,24273,42636,16667,2528,5712,3342,14387,15096,4583,1050,1035,2960,5468,279235,10051,13326,7568,12307,72359,11773,4398,11478,32947,11876,26533,26219,12226,16456,9718,247752,117874,10396,30840,11112,77530,170902,85561,6206,16124,5164,57847,51486,18539,2969,11465,5092,13421,578,234,7,78,70,189,13807,8180,809,1862,318,2638,162,9,0,13,9,131,4284,2240,169,501,207,1167,6533,3111,236,797,252,2137,159386,79203,5639,15088,4803,54653,17602,9482,824,1832,649,4815
40,DE,10,04000US10,Delaware,722300,344736,45858,1272,7099,15580,16295,1676,3333,603,59535,2901,5596,17426,12328,4025,11938,5321,54172,2580,4070,16618,10727,3592,9804,6781,119999,3684,9246,40946,23084,8096,20783,14160,65172,4082,6129,19642,11607,3548,9902,10262,377564,45324,625,4577,12873,19629,2022,5152,446,60577,1993,4301,12889,14073,4900,14144,8277,57257,1972,2761,14201,11117,5314,13066,8826,132370,3207,7547,41756,27210,13005,23181,16464,82036,4546,8758,32758,14397,5124,9323,7130,631118,298878,3809,1901,2519,5018,4599,7413,7885,5144,94632,17930,39816,19261,52427,23469,6454,6601,332240,3486,1537,2616,4079,4373,7291,7058,4645,101604,21013,45784,28343,59714,32125,4706,3866,631118,7295,104,124,189,933,1236,852,1310,3825,2691,6406,8972,14704,14943,9789,174291,21945,38943,85600,47604,112141,55594,11160,10467,461524,220997,25925,69315,57006,68751,240527,22054,76705,67491,74277,124474,56103,8279,20964,16587,10273,68371,8890,20958,22626,15897,2190,1134,256,352,291,235,1056,284,291,307,174,22647,10604,782,951,883,7988,12043,1339,1228,1758,7718,268,189,32,99,45,13,79,28,19,7,25,12123,6350,2554,1938,1031,827,5773,2156,1304,1290,1023,7892,3501,460,1013,1164,864,4391,334,1099,1661,1297,435185,207180,20375,65428,54313,67064,228005,17614,73625,64556,72210,41678,21638,8439,6493,4106,2600,20040,6856,4975,4688,3521,189362,88951,25126,12296,1246,5954,1036,4594,43661,19060,1771,12230,2884,7716,20164,9674,938,4003,2333,3216,100411,33667,10995,4017,6591,5013,7051,50291,12974,7258,10947,9126,9986,16453,3247,2103,1452,5553,4098,202919,9193,12249,9574,9144,14939,16679,2283,18741,42745,26769,8506,9412,5774,4934,11977,189362,68246,17333,41177,25945,36661,143028,49322,12901,29837,21690,29278,26170,7965,2603,7490,3055,5057,409,185,27,69,47,81,15706,9238,1511,2807,679,1471,38,31,0,6,1,0,1850,626,175,414,288,347,2161,879,116,554,185,427,139274,47843,12628,29087,21228,28488,6121,2147,517,1395,868,1194
40,FL,12,04000US12,Florida,15604649,7534587,913528,23910,149695,304898,310679,66279,54106,3961,1244177,57007,119271,378915,270398,125422,215788,77376,1202796,60764,103124,359307,236384,116742,217580,108895,2539646,116380,207312,771418,510895,221384,447056,265201,1634440,130989,132710,438334,316548,92404,287354,236101,8070062,866916,12990,105328,229952,338139,94028,79359,7120,1224768,34909,76298,289300,277254,156107,277405,113495,1224499,42151,73429,300772,257065,154773,256313,139996,2737328,110671,176266,804798,597345,305496,480584,262168,2016551,184186,188799,731408,392806,124516,236475,158361,13824205,6621059,94504,53969,102879,113788,118569,141228,150532,152088,1947974,401623,932602,555952,1167778,425992,170139,91442,7203146,103500,53139,106343,108935,97411,125325,140488,151568,2126278,487203,1037267,740892,1250777,506231,104602,63187,13824205,198004,3181,2496,8644,18980,38425,35382,50822,158400,68437,154286,215980,266553,291020,303656,3491793,582459,888826,1969869,1296844,2418555,932223,274741,154629,10984459,5296479,654401,1524819,1529849,1587410,5687980,614138,1700811,1800491,1572540,1929347,892342,188346,319958,250687,133351,1037005,184672,317258,334336,200739,37609,19101,4449,5702,5501,3449,18508,3586,5356,6357,3209,359731,159195,18622,27582,32644,80347,200536,31390,38201,42442,88503,6802,3054,288,800,1325,641,3748,449,1320,1369,610,301112,150531,46008,44211,36648,23664,150581,38980,40044,41711,29846,205145,100357,15443,24902,33523,26489,104788,13494,23288,38656,29350,8412052,4064576,362108,1156846,1223246,1322376,4347476,330614,1322269,1436693,1257900,3002679,1448084,356328,432033,361301,298422,1554595,335637,435847,425764,357347,3780148,1855351,446599,179286,25545,125780,17525,98463,885297,357576,56296,258963,53143,159319,523455,214628,26709,147212,56078,78828,1924797,582774,161810,78248,131498,75739,135479,947187,217550,135357,213422,190327,190531,394836,62524,52148,37923,159517,82724,4012326,153738,192338,123743,193092,295840,300048,24918,397512,944121,572107,142286,180919,128032,145503,218129,3780148,1193374,374303,914798,552329,745344,3159950,985739,290565,768272,482361,633013,334090,91903,44453,81542,48125,68067,6658,2297,855,1499,875,1132,168850,76526,26932,34399,10208,20785,1251,447,201,157,198,248,53510,16700,5949,15462,5356,10043,55839,19762,5348,13467,5206,12056,2580276,794135,232818,605327,408698,539298,655769,215847,65885,183653,81533,108851
